,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
36,219.0,248.0,192.5,681.0,479.5,1267.5,333.5,201.5,1.0,276.0,28.5,593.0,431.0,15.5,226.0,846.0,1391.0,36.0,74.0,3.5,599.0,109.5,677.0,95.5,271.5,223.0,220.5,162.5,123.0,77.0,283.5,256.0,78.5,104.0,99.5,114.0,7.5,20.5,23.0,362.5,157.0,92.5,26.0,42.5,840.5,177.5,565.0,37.0,451.0,140.5,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,103.5,691.5,404.5,404.5,165.5,84.5,225.5,344.0,807.0,517.0,314.0,145.5,90.5,1308.0,226.5,156.0,62.5,106.0,637.5,311.5,139.0,185.5,138.0,283.0,215.0,462.5,240.5,180.0,104.5,892.0,112.5,154.5,163.5,165.0,16.0,59.0,275.0,13.5,93.0,233.0,160.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,453.0,343.5,220.0,657.0,216.0,85.0,129.5,298.5,229.0,417.5,231.0,415.0,214.5,65.0,498.0,237.0,179.5,170.0,50.5,69.5,141.5,78.5,13.5,202.5,230.0,33.0,287.0,15.0,306.5,9.5,19.5,193.5,200.5,98.5,169.5,24.5,269.0,112.0,32.5,23.5,110.0,163.5,152.5,76.5,183.0,64.0,7.5,58.5,48.5,840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,302.0,307.5,597.5,93.5,55.5,708.5,11.0,153.0,35.0,123.5,187.5,142.5,84.5,11.5,46.5,164.5,245.0,498.5,9.5,1007.5,259.0,101.5,615.0,222.0,162.5,496.0,241.0,533.0,106.5,102.0,379.0,838.5,255.5,190.0,421.5,171.0,21.5,132.5,37.5,277.5,24.5,107.5,172.5,88.0,75.5,453.5,11.0,69.5,403.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,16.0,71.5,112.0,179.5,150.0,865.0,327.0,121.5,49.0,118.0,95.5,478.0,691.5,660.0,91.0,1096.0,341.5,227.5,11.0,2.0,998.5,422.5,1783.5,110.5,2053.5,278.0,279.0,130.0,136.5,110.0,204.0,188.5,78.5,23.0,201.0,167.0,160.0,135.0,180.0,85.5,692.0,5.0,2829.5,4.5,75.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,206.5,34.5,105.0,1160.5,82.0,20.0,252.0,302.0,467.0,78.5,324.0,202.5,167.5,229.5,102.5,204.0,653.5,138.0,774.5,154.0,202.0,38.5,116.0,382.5,184.0,129.5,253.0,123.0,151.5,130.0,745.0,207.0,228.5,104.5,142.0,36.5,8.0,45.0,73.0,43.5,35.0,242.5,19.5,77.0,6.5,68.5,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,354.0,12.0,766.0,109.0,85.5,183.5,475.5,221.0,1342.0,332.5,764.5,20.5,190.5,699.0,123.5,5.5,29.0,3606.0,687.0,628.5,38.5,352.0,329.0,54.0,6.5,265.0,705.0,92.0,199.5,377.5,316.0,181.5,41.5,84.5,166.0,60.5,81.0,184.0,351.5,18.0,82.0,12.5,235.0,60.0,29.0,454.0,3217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,176.0,96.0,649.0,457.0,17.0,99.5,483.0,3803.5,1860.5,268.5,273.0,121.5,236.5,262.5,2616.5,230.0,162.5,278.5,768.0,130.5,1227.0,233.0,638.5,1014.0,132.0,112.5,124.5,90.5,104.5,81.0,389.0,233.0,151.0,277.0,1142.0,57.0,85.0,264.0,483.5,148.0,54.0,57.0,62.0,116.0,136.0,133.5,837.0,208.5,2.0,44.5,90.0,124.5,185.0,388.5,103.0,101.5,72.5,4.0,,,,,,,,,,,,,,,,,,,,,,,
44,144.5,122.5,28.5,119.5,900.5,336.0,17.5,7.5,213.0,264.5,134.5,115.5,670.0,156.5,372.5,195.5,1.5,783.0,341.0,385.0,120.0,93.5,38.5,135.5,16.5,150.5,238.0,225.0,168.5,228.0,191.5,740.0,207.0,185.0,155.0,110.0,483.0,4.5,124.5,23.5,474.5,102.5,127.0,341.5,211.0,52.0,635.0,46.5,81.5,72.5,156.0,283.5,82.0,71.0,43.5,0.5,191.5,199.5,,,,,,,,,,,,,,,,,,,,,,,
45,743.5,110.0,66.0,1563.5,15.5,183.0,199.0,1050.5,262.0,146.0,177.0,223.0,144.5,824.5,491.0,1.0,298.0,348.5,91.5,175.0,1271.0,621.0,190.0,78.0,177.5,360.0,564.0,106.0,783.0,149.0,29.0,211.0,637.0,214.0,90.5,148.5,10.0,17.5,1.5,315.5,37.5,60.5,19.0,2.5,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,96.5,507.5,66.0,172.0,157.5,161.5,176.5,355.5,112.0,190.5,122.0,9.5,340.5,176.5,346.0,88.5,415.5,499.5,147.0,144.0,279.5,186.5,63.0,1087.0,12.5,176.5,151.0,147.0,302.0,189.5,285.5,81.5,161.0,228.5,7.5,163.0,209.5,298.5,486.0,866.0,36.0,1035.5,174.5,154.5,451.0,129.5,525.0,258.5,109.5,489.0,140.0,51.5,8.5,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,22.0,367.5,3869.0,349.5,10.0,310.0,182.5,52.5,446.0,82.0,3.0,149.5,359.0,179.0,13611.0,143.5,283.5,656.0,143.0,272.5,545.5,356.5,459.0,1012.5,580.5,263.5,106.0,157.0,164.5,112.0,301.5,162.5,173.0,661.0,85.5,218.0,207.0,19.0,306.0,106.5,82.0,224.5,1.0,113.0,97.5,251.0,67.0,137.5,356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
